Production,Year,Venue/type,Music,Lyrics,Book,Notes
A Year with Frog and Toad,2003,Off-Broadway,Robert Reale,Willie Reale,Willie Reale,
Yellow Submarine,1968,Film,The Beatles and George Martin,The Beatles and Martin,Various writers,
Yentl,1983,Film,Michel Legrand and Alan Bergman,Marilyn Bergman,Barbra Streisand and Jack Rosenthal,
The Yeomen of the Guard,1888,West End,Arthur Sullivan,W. S. Gilbert,Gilbert and Sullivan,
Yes Nurse! No Nurse!,2002,Film,Pelle Bolander and Raymund van Santen,Bolander and van Santen,Pieter Kramer and Frank Houtappels,
You Said It,1931,Broadway,Harold Arlen,Jack Yellen,Yellen and Sid Silvers,
Young Frankenstein,2007,Broadway,Mel Brooks,Brooks,Thomas Meehan and Brooks,"Notable songs: ""Puttin’ On the Ritz"", ""He Vas My Boyfriend"", and ""Deep Love"""
Your Own Thing,1968,Off-Broadway,Hal Hester and Danny Apolinar,Hester and Apolinar,Donald Driver,
"You're a Good Man, Charlie Brown",1971,Broadway,Clark Gesner,Gesner,John Gordon,"Based on the comic strip Peanuts. 
 The 1999 revival includes additional music and lyrics by Andrew Lippa, and dialogue by Michael Mayer."
